56;8Q154;39.3011;27.186;7246.70811997074;IST-ADB;188.0;01-07-2015 10:55
57;PC501;41.4476;28.72;7025.72543282126;SAW-STN;296.0;01-07-2015 10:55
58;TK2905;40.6749;27.8634;6858.08339429407;ADB-SAW;83.0;01-07-2015 10:55
59;TK2965;40.7145;30.3134;6355.15727871251;ESB-SAW;284.0;01-07-2015 10:55
60;TK2432;40.5679;29.5344;6012.2531089978;IST-AYT;154.0;01-07-2015 10:55
61;PC104;40.2064;31.7625;6004.63301633748;SAW-ESB;102.0;01-07-2015 10:55
62;FB981;42.7815;26.2583;5936.05218239454;SOF-BOJ;102.0;01-07-2015 10:55
63;PC401;41.3803;28.9181;5798.89051450866;SAW-ORY;298.0;01-07-2015 10:55
64;RO262;41.4595;28.6025;5288.34430626676;IST-OTP;319.0;01-07-2015 10:55
65;TK1022;41.2628;27.7277;5014.020970495;SJJ-IST;125.0;01-07-2015 10:55
66;TK961;40.7247;28.5453;4229.15142648135;ECN-IST;238.0;01-07-2015 10:55
67;TO3082;40.6645;28.4307;4053.88929529383;ORY-SAW;92.0;01-07-2015 10:55
68;TK1598;41.0909;28.0506;3931.9678127286;FRA-IST;124.0;01-07-2015 10:55
69;PC319;41.1765;29.3397;3832.90660814435;SAW-MUC;333.0;01-07-2015 10:55
70;TK2313;40.9311;28.1261;3756.70568154109;ADB-IST;115.0;01-07-2015 10:55
71;TK617;41.0667;28.4375;3345.22067788344;IST-CMN;238.0;01-07-2015 10:55
72;TK1004;40.7598;28.1675;2354.60863204097;SKP-IST;146.0;01-07-2015 10:55
73;W5113;41.0939;28.9156;2308.888076079;IST-IKA;81.0;01-07-2015 10:55
74;PC4272;40.9412;29.4948;2209.82687149476;SAW-DLM;132.0;01-07-2015 10:55
75;;39.86;32.8154;2164.1063155328;MCT-";287.0;01-07-2015 10:55
76;TK369;40.6692;28.3406;1958.36381370397;TAS-IST;265.0;01-07-2015 10:55
77;TK775;40.0163;32.8903;1569.73908802731;IST-ESB;35.0;01-07-2015 10:55
78;TK2109;40.7955;28.444;1478.29797610339;ESB-IST;59.0;01-07-2015 10:55
79;TK1922;40.8469;28.5548;1356.37649353816;GVA-IST;58.0;01-07-2015 10:55
80;PC209;40.7772;29.1173;868.690563277249;ERC-SAW;281.0;01-07-2015 10:55
81;TK1668;40.89;28.6472;830.590099975616;HAM-IST;60.0;01-07-2015 10:55
82;AB3348;39.107;26.5963;594.367227505486;DUS-MJT;139.0;01-07-2015 10:55
83;;40.7418;30.0255;487.685930260912;"-";294.0;01-07-2015 10:55
84;PC271;40.8664;29.2218;441.965374298951;ERZ-SAW;67.0;01-07-2015 10:55
85;TK1638;40.9289;28.7308;403.864910997318;MUC-IST;58.0;01-07-2015 10:55
86;TK1028;40.9608;28.7994;45.7205559619605;SOF-IST;61.0;01-07-2015 10:55
87;TK1899;42.6489;26.0679;12192.1482565228;SAW-VIE;296.0;01-07-2015 10:56
88;XG1690;40.9351;30.2746;12176.9080712021;ESB-FRA;283.0;01-07-2015 10:56
89;X3354;39.5135;27.2067;11879.7244574494;CGN-AYT;136.0;01-07-2015 10:56
